"","t","x","y","z","v","w"
"6028",301.35,99.6693701388775,0.00696402606162252,0.183037061202147,5.37278842028676,0.00257207251197912
"6029",301.4,99.6666757332356,0.00706028003175775,0.185606180799944,5.4517341731663,0.0026075790115764
"6030",301.45,99.6695360377209,0.00695307957078308,0.182826701946511,5.37335884424035,0.00256801737841999
"6031",301.5,99.6755463629915,0.00673327346898399,0.177084487461169,5.20796634754355,0.00248679617994119
"6032",301.55,99.6761763861691,0.00670718946490844,0.176435752948394,5.19271160823609,0.00247697827924533
"6033",301.6,99.6770891684527,0.00667081359765006,0.17551598560705,5.16949277350652,0.00246334982736992
"6034",301.65,99.6690842073495,0.00696729720810885,0.183355591525281,5.40448991514696,0.00257261047738775
"6035",301.7,99.6621968259363,0.00722076924625161,0.190066462425383,5.60583799032532,0.00266619862312355
"6036",301.75,99.6682187969725,0.00700051197057955,0.184307976397719,5.43889137006802,0.00258505433368267
"6037",301.8,99.6744833457933,0.0067719140640319,0.178327305081721,5.26563800152026,0.00250066882886236
"6038",301.85,99.6756939219019,0.00672471287475436,0.177121834911578,5.23373331429341,0.00248311333244661
"6039",301.9,99.6696987321254,0.00694446830952055,0.182948710949339,5.40981896118186,0.00256410128724971
"6040",301.95,99.6661415286404,0.00707256662324894,0.186362950827796,5.51424850347112,0.00261140565124165
"6041",302,99.6665508332877,0.00705440619395176,0.185923896070766,5.50443243896356,0.00260480553665076
"6042",302.05,99.6649844707909,0.00710866444262753,0.18739366119198,5.5511751402668,0.00262493746635873
"6043",302.1,99.66141066898,0.00723719732645895,0.190822412474703,5.65590569119423,0.00267254383674932
"6044",302.15,99.6479711902606,0.00774184191446438,0.2041715899693,6.05465089627247,0.00285916070473709
"6045",302.2,99.6483406784274,0.00772484071971942,0.203766433880715,6.04465600431595,0.00285355162185931
"6046",302.25,99.6451211274353,0.007839778359613,0.206841939719863,6.13796616038729,0.00289667628462803
"6047",302.3,99.645264828179,0.00783098218827597,0.206653340164203,6.13421342575405,0.00289418673466444
"6048",302.35,99.6441970011963,0.00786650801159838,0.207634311852689,6.16519480124795,0.00290807351172531
"6049",302.4,99.6350547939714,0.00820372151714765,0.216580110619064,6.43268305348699,0.00303355408506302
"6050",302.45,99.6228806416391,0.00865640784806891,0.228578617346786,6.79033406723325,0.00320211677351603
"6051",302.5,99.6225247685375,0.00866550362779323,0.228866130759887,6.79932297438524,0.00320705829092983
"6052",302.55,99.6338493884881,0.0082583793945936,0.218158220860695,6.48161266760907,0.00305788944160678
"6053",302.6,99.6319829839813,0.00832302493459075,0.219910516186983,6.53479301888637,0.00308298550685503
"6054",302.65,99.6371043705717,0.00813472941985074,0.214978673460513,6.38921339750107,0.00301442331548691
"6055",302.7,99.6427747313664,0.00792708595556308,0.209533068679736,6.2286438966368,0.00293847535604778
"6056",302.75,99.6409196116198,0.00799147120319059,0.211276812583546,6.28214544943633,0.00296317233195786
"6057",302.8,99.6444190511331,0.00786148035444051,0.207881140330327,6.1826913315891,0.00291584199772219
"6058",302.85,99.651089123697,0.00761880687701353,0.201503611692054,5.99471213264412,0.00282657198285279
"6059",302.9,99.649445075101,0.00767557594759436,0.203044587262307,6.04272742465784,0.0028481821431029
"6060",302.95,99.6408907289231,0.00799010036455412,0.211405828492044,6.29369957066354,0.00296551335659294
"6061",303,99.6480066928653,0.00773173320040153,0.204609432213739,6.09283152254027,0.00287047695439524
"6062",303.05,99.6423414573237,0.00793733813728956,0.210090848814946,6.25805352459259,0.0029474728342049
"6063",303.1,99.6447432929699,0.00784696497001629,0.207738575090796,6.18955855868149,0.00291473901377386
"6064",303.15,99.6423678431468,0.00793046425102246,0.209989085063095,6.25836913727908,0.00294651329476477
"6065",303.2,99.651358316865,0.00760666154669641,0.201453348381307,6.00550186003038,0.00282700087764692
"6066",303.25,99.6522263306943,0.00757187452675977,0.200569773853935,5.98128533203814,0.00281460493924667
"6067",303.3,99.6514594254281,0.00759654995662477,0.201261091338044,6.00409402152827,0.00282428519830126
"6068",303.35,99.6584942425945,0.00734178970150156,0.194547845655845,5.8058870832626,0.00273008061880454
"6069",303.4,99.6599834425288,0.00728470517467977,0.193071023642206,5.76435637879332,0.00270916690031402
"6070",303.45,99.653035726266,0.00753852209756809,0.199835086928358,5.96904881981873,0.00280384279529275
"6071",303.5,99.657128235122,0.00738804235191617,0.19588232900309,5.85314862178638,0.00274835127168746
"6072",303.55,99.6571040877926,0.00738575821638658,0.195857841109529,5.85487721574544,0.00274786294592592
"6073",303.6,99.6589121919857,0.0073172158258032,0.194075857282245,5.80404219036439,0.00272272055033978
"6074",303.65,99.6642388204046,0.00712318348143212,0.188964097736638,5.65366829845324,0.00265082150372036
"6075",303.7,99.6641844181743,0.0071221230619002,0.188970442317066,5.65674707096432,0.0026505833260979
"6076",303.75,99.6672872408986,0.00700733017317985,0.18595853710639,5.56942346883571,0.0026080186660795
"6077",303.8,99.6761123071356,0.00669124024711122,0.177602526154584,5.32209436691121,0.00249044688927615
"6078",303.85,99.6727668153989,0.00681092080543787,0.180811946284431,5.42193431986605,0.00253484043553521
"6079",303.9,99.6692939000408,0.00693521567103845,0.18414510374546,5.52533317723451,0.002581040010773
"6080",303.95,99.6686403305801,0.00695601520045031,0.184730975310839,5.54608730643749,0.00258881827058497
"6081",304,99.6699746473254,0.00690482326386597,0.183404817873575,5.50937076634442,0.00256982315532494
"6082",304.05,99.6660834968638,0.0070444596293148,0.187147815305888,5.62507277285028,0.0026218169491317
"6083",304.1,99.6719936501257,0.00683039248728879,0.181493751508893,5.45799164535911,0.00254227488718598
"6084",304.15,99.678028502909,0.00661217633818519,0.175727284083191,5.28778351436323,0.00246103300998746
