"","t","x","y","z","v","w"
"160",3.18,78.53119256851,17.4789675543517,4.18025204962181,3.22668197159343,3.16843358908767
"161",3.2,78.6017986986043,17.4128999085192,4.17311327531522,3.20415763949011,3.14099972765829
"162",3.22,78.2029718176986,17.7290310464831,4.25775523774809,3.2519644689828,3.18243583808591
"163",3.24,77.8836688938266,17.9791893575736,4.3270428258598,3.28746147689412,3.21179544678545
"164",3.26,77.384465443858,18.3773228027168,4.4324577816115,3.34976998229945,3.26727330125608
"165",3.28,77.11023717335,18.5895784232731,4.49359840709581,3.37796962423155,3.28947161878301
"166",3.3,76.9897402263853,18.6763475655813,4.52473035982879,3.38332910628084,3.28944180505269
"167",3.32,76.955225445049,18.6934563049805,4.53915563914418,3.37614608978046,3.2772425699021
"168",3.34,76.9556506473465,18.6823534648252,4.5468183887531,3.36399995993141,3.26025383685266
"169",3.36,76.8404998314805,18.7644020757102,4.57726386056082,3.36872354070873,3.25961490840064
"170",3.38,77.0418170674603,18.5926193079344,4.5458488845447,3.3280530609569,3.21512858990654
"171",3.4,76.9390108584247,18.6645808786397,4.57397897928592,3.33120317795515,3.21296850887844
"172",3.42,77.2324396327181,18.4200070532647,4.52454204383648,3.2780716982523,3.15662027615088
"173",3.44,77.0044733659433,18.5933110766544,4.57768515119814,3.29948285936604,3.17201207250217
"174",3.46,77.5452593776606,18.1551196546605,4.48026394788379,3.21262623832742,3.08347467043483
"175",3.48,77.4170522401166,18.2476232438387,4.5135069203,3.21999898713258,3.0853478408939
"176",3.5,77.256625730874,18.3659663614861,4.55336854941417,3.23194076194093,3.09159446930911
"177",3.52,76.380130307386,19.0747277811435,4.74020608906442,3.34749214844963,3.19678328405927
"178",3.54,76.7300906976137,18.7856044050191,4.67964806178858,3.28778954927709,3.1347530847196
"179",3.56,76.4972672232803,18.96165532215,4.73485334323257,3.30968612968835,3.15047976501266
"180",3.58,76.6679149688133,18.814169868407,4.70942251966709,3.27520086676306,3.112609778662
"181",3.6,76.0288018920015,19.3226551271456,4.84841662397655,3.35486496735621,3.18309766472282
"182",3.62,76.3366299595806,19.06666805722,4.79600767170847,3.30176382440675,3.12773922743514
"183",3.64,76.0773192470433,19.2633135464578,4.85737859709222,3.32719656737866,3.14672832571871
"184",3.66,75.9776665692012,19.3309203684376,4.88651836704779,3.33032173626374,3.14463641801307
"185",3.68,76.052305460395,19.2592422886802,4.88053741485506,3.30955695399736,3.12003088848484
"186",3.7,75.5636258019516,19.6418948058098,4.98992063694841,3.36684231220641,3.16892277569506
"187",3.72,75.6779374396789,19.5384191182415,4.97619737558691,3.34076335774713,3.13942317314377
"188",3.74,75.554561379446,19.6244166176264,5.01073907771861,3.34719886560692,3.14047048537163
"189",3.76,75.632940375798,19.5494214833165,5.00427691248883,3.32626865773875,3.11588752552392
"190",3.78,75.6764461026668,19.5021483146633,5.00486165688998,3.31021156583026,3.09589705364697
"191",3.8,75.3229460731326,19.7732861414345,5.08734761700565,3.34821252489578,3.12641318293866
"192",3.82,74.8388298571875,20.1501096818682,5.19761990150648,3.40393169611092,3.17341800053727
"193",3.84,74.7491995700474,20.2080437947191,5.22613757019761,3.40568652380403,3.17014403713929
"194",3.86,74.3062455266363,20.5503506949024,5.32855093180578,3.45530496137529,3.21136428669216
"195",3.88,74.5691488792319,20.3292041184021,5.28514523029955,3.41021930108547,3.16466152527674
"196",3.9,74.3257902591814,20.5097136795282,5.34609644808641,3.43263212123071,3.18055796922981
